Substructure,Frequency0,OccurrenceList0
N,2,"1,0,1,0"
C,3,"1,1,0,1"
NN,1,"1,0,0,0"
C=N,1,"1,0,0,0"
CN,1,"1,0,0,0"
C=NN,1,"1,0,0,0"
N=CN,1,"1,0,0,0"
CNN,1,"1,0,0,0"
NC=NN,1,"1,0,0,0"
N=CNN,1,"1,0,0,0"
NN=CNN,1,"1,0,0,0"
O=CO,3,"0,1,1,1"
CC,2,"0,1,0,1"
COC=O,1,"0,1,0,0"
CC(=O)O,2,"0,1,0,1"
CCOC=O,1,"0,1,0,0"
COC(C)=O,1,"0,1,0,0"
CCC(=O)O,2,"0,1,0,1"
CCOC(C)=O,1,"0,1,0,0"
CCC(=O)OC,1,"0,1,0,0"
O=C(O)CCC(=O)O,1,"0,1,0,0"
CCOC(=O)CC,1,"0,1,0,0"
COC(=O)CCC(=O)O,1,"0,1,0,0"
CCOC(=O)CCC(=O)O,1,"0,1,0,0"
COC(=O)CCC(=O)OC,1,"0,1,0,0"
CCOC(=O)CCC(=O)OC,1,"0,1,0,0"
CCOC(=O)CCC(=O)OCC,1,"0,1,0,0"
c,2,"0,0,1,1"
cN,1,"0,0,1,0"
cc,2,"0,0,1,1"
cC(=O)O,1,"0,0,1,0"
ccN,1,"0,0,1,0"
ccc,2,"0,0,1,1"
ccC(=O)O,1,"0,0,1,0"
cc(c)N,1,"0,0,1,0"
cccN,1,"0,0,1,0"
cccc,2,"0,0,1,1"
cccC(=O)O,1,"0,0,1,0"
cc(c)C(=O)O,1,"0,0,1,0"
ccc(c)N,1,"0,0,1,0"
ccccN,1,"0,0,1,0"
ccccc,2,"0,0,1,1"
ccccC(=O)O,1,"0,0,1,0"
ccc(c)C(=O)O,1,"0,0,1,0"
cccc(c)N,1,"0,0,1,0"
ccc(N)cc,1,"0,0,1,0"
NccccC(=O)O,1,"0,0,1,0"
cccccN,1,"0,0,1,0"
cccccC(=O)O,1,"0,0,1,0"
c1ccccc1,2,"0,0,1,1"
cccc(c)C(=O)O,1,"0,0,1,0"
ccc(cc)C(=O)O,1,"0,0,1,0"
cc(N)cccC(=O)O,1,"0,0,1,0"
Nc1ccccc1,1,"0,0,1,0"
cc(cccN)C(=O)O,1,"0,0,1,0"
O=C(O)c1ccccc1,1,"0,0,1,0"
Nc1ccc(C(=O)O)cc1,1,"0,0,1,0"
cC,1,"0,0,0,1"
cCC,1,"0,0,0,1"
ccC,1,"0,0,0,1"
cCCC(=O)O,1,"0,0,0,1"
ccCC,1,"0,0,0,1"
cc(c)C,1,"0,0,0,1"
cccC,1,"0,0,0,1"
ccCCC(=O)O,1,"0,0,0,1"
cc(c)CC,1,"0,0,0,1"
cccCC,1,"0,0,0,1"
ccc(c)C,1,"0,0,0,1"
ccccC,1,"0,0,0,1"
cc(c)CCC(=O)O,1,"0,0,0,1"
cccCCC(=O)O,1,"0,0,0,1"
ccc(c)CC,1,"0,0,0,1"
ccccCC,1,"0,0,0,1"
cccc(c)C,1,"0,0,0,1"
ccc(C)cc,1,"0,0,0,1"
cccccC,1,"0,0,0,1"
ccc(c)CCC(=O)O,1,"0,0,0,1"
ccccCCC(=O)O,1,"0,0,0,1"
cccc(c)CC,1,"0,0,0,1"
ccc(cc)CC,1,"0,0,0,1"
cccccCC,1,"0,0,0,1"
Cc1ccccc1,1,"0,0,0,1"
cccc(c)CCC(=O)O,1,"0,0,0,1"
ccc(cc)CCC(=O)O,1,"0,0,0,1"
cccccCCC(=O)O,1,"0,0,0,1"
CCc1ccccc1,1,"0,0,0,1"
O=C(O)CCc1ccccc1,1,"0,0,0,1"
